"month_date","median_listing_price","new_listing_count","active_listing_count","pending_listing_count"
2016 Jul,196510.331276388,497388,1463458,428460
2016 Aug,192368.632089746,464936.666666667,1456822.11111111,407334.125
2016 Sep,192377.957372774,444907.274458874,1443507.30896465,384938.75
2016 Oct,192278.06651943,410335.634632035,1404269.59253247,366446.375
2016 Nov,191849.277680733,352659.958441558,1337043.06979398,346482
2016 Dec,191313.268362903,266885.115584416,1232407.2970555,308024.425
2017 Jan,191577.023165857,369699.189393939,1152290.69098368,285153.392857143
2017 Feb,193344.597968322,430682.32987013,1151397.56066944,335814.360714286
2017 Mar,197799.973830686,498678.403679654,1169687.26368853,385436.161904762
2017 Apr,201392.683436381,529098.072727273,1199103.07140847,433031.338095238
2017 May,203677.430821231,562360.866774892,1251454.08051731,461251.380952381
2017 Jun,205428.113460359,533056.327489177,1289800.75629281,449955.99047619
2017 Jul,206325.886023507,503926.648203463,1317789.34873497,427239.1
2017 Aug,204902.275309719,484795.865887446,1322691.51693472,404696.842857143
2017 Sep,205121.60575176,439174.833571429,1308380.43513446,384529.085714286
2017 Oct,204720.529678498,427850.532857143,1284681.44063579,365368.328571429
2017 Nov,203700.943185742,365983.06547619,1225291.69613712,336793.271428571
2017 Dec,202827.124426321,277481.431428571,1123774.61830512,299127.414285714
2018 Jan,202797.930901924,364036.730714286,1043683.9077711,271862.557142857
2018 Feb,204643.675294765,427527.763333333,1043048.53057041,323731.7
2018 Mar,208459.840875719,491096.529285714,1064352.59781416,371242.533333333
2018 Apr,211430.86318222,546181.795238095,1100738.16505792,428987.007291667
2018 May,213847.319241132,570304.604047619,1153604.76252145,453102.08125
2018 Jun,214970.602448691,541312.212857143,1213542.52665165,439713.521875
2018 Jul,214885.968570798,513541.869285714,1259105.87411519,412850.248214286
2018 Aug,213380.49652757,491256.640865801,1283287.88824539,399053.474553571
2018 Sep,212745.059003368,459090.287445887,1298224.83987559,378454.700892857
2018 Oct,211020.911732506,429022.600692641,1304456.996634,355564.411847527
2018 Nov,210751.923944541,369563.913939394,1270262.4033924,339273.647173267
2018 Dec,209542.114896659,281413.250995671,1183338.15737303,298652.882499007
2019 Jan,209260.751702243,382135.588051948,1108219.72802033,277949.117824746
2019 Feb,211235.94569771,407832.687012987,1102596.29866762,333798.521981654
2019 Mar,215606.26334731,477923.385974026,1115619.36931492,394686.526138563
2019 Apr,219254.648766389,553475.394025974,1138519.76900262,441345.484840926
2019 May,222446.886026441,572578.084617605,1180739.43485512,461335.083474685
2019 Jun,224447.570264826,543215.025209235,1218451.05904095,462728.682108444
2019 Jul,224383.075492734,505032.537229437,1236725.01656012,448076.280742203
2019 Aug,223912.790447516,479158.055916306,1234151.84907928,439899.593661677
2019 Sep,223165.926402562,452721.396581197,1224333.29716621,426753.30658115
2019 Oct,222631.083435782,423319.780724348,1208250.0713401,413690.019500624
2019 Nov,222040.380410563,344709.307724643,1139055.51694256,400877.732420097
2019 Dec,221197.896100144,254894.00863798,1031702.72718466,350490.778672904
2020 Jan,220943.529841052,361592.709551318,950078.437426757,326596.949925711
2020 Feb,223933.527899372,409574.960464656,925258.321593587,410787.221178517
2020 Mar,227747.330237126,466140.336377994,934163.768260417,465225.444812277
2020 Apr,228652.83703475,329817.712291332,940779.29826058,406467.001779369
2020 May,233047.942152953,437224.082649114,922466.689371855,460307.392079795
2020 Jun,237281.138726796,495671.628331572,870260.384054558,579575.199046887
2020 Jul,241227.177217969,489929.661193517,820785.501814184,614551.108578082
2020 Aug,243383.835751904,487583.694055461,776659.652907143,629238.334775944
2020 Sep,244395.634860405,478995.564218994,748251.356579467,629689.658196028
2020 Oct,243204.491213792,449505.993356885,729895.683479544,643431.957806588
2020 Nov,245340.120573924,362308.254240807,682119.121490733,608128.799083815
2020 Dec,243769.674631265,294762.998458064,610648.621040382,534922.235724012
2021 Jan,245972.701743453,342967.659341987,527661.337256699,478567.27236421
2021 Feb,251083.727478073,367484.878595318,464578.404591341,541824.637197047
2021 Mar,257329.871744034,449795.224832776,439443.805259317,579555.932585441
2021 Apr,266453.34597993,478858.794879758,434104.846403484,624010.065473834
2021 May,273011.976713613,508907.892704518,445023.179214317,656169.140028894
2021 Jun,273435.919161843,530428.927037214,492002.900914038,661183.714583954
2021 Jul,275015.43582468,512253.799739874,542783.803703504,636707.860567586
2021 Aug,277250.060172379,492055.118596379,572868.983416046,633103.995653782
2021 Sep,278464.888747226,452663.060641291,577003.928708299,613890.105739977
2021 Oct,282097.822935557,424887.983638584,561711.607333885,594296.049159506
2021 Nov,287048.30881418,361191.732722833,510462.719292804,575988.184245702
2021 Dec,287738.259947328,275038.85958486,443870.743751723,509127.620919199
2022 Jan,290716.494656659,306413.086446886,374060.118210642,444292.307592696
2022 Feb,299184.958051192,363404.935531136,345743.192669562,492861.201409051
2022 Mar,304054.863783639,434357.856043956,353604.382207846,525075.556336516
2022 Apr,309958.782030744,475746.126556777,384419.797936606,554692.044597315
2022 May,316775.809925205,519775.211355311,475747.555332034,566286.27452478
2022 Jun,321070.483531759,527189.512820513,573645.779394127,547044.383618912
2022 Jul,318058.358189634,467803.176190476,688280.303456221,504297.826046378
2022 Aug,317816.258491461,416897.885714286,725307.617261905,490114.580973843
2022 Sep,317169.566070698,409588.546825397,729486.743253968,467230.731139404
2022 Oct,317151.995377249,353582.036507936,749747.593055556,413537.931304965
2022 Nov,314095.796925738,283852.442857143,746859.758333333,369924.839803859
2022 Dec,312843.255868702,202962.849206349,677258.581944444,320841.373302753
2023 Jan,312332.156770403,277156.922222222,614540.35,304621.695690536
2023 Feb,318395.281324876,300078.471428571,577328.284722222,371916.410935462
2023 Mar,324956.564458706,340008.884271284,560567.469444444,399111.300422812
2023 Apr,331608.841620951,369932.63044733,558027.791666667,431913.040539093
2023 May,333812.653135131,401928.126623377,579572.747222222,460178.34732204
2023 Jun,338830.324886777,392618.311688312,613301.975,455171.289819273
2023 Jul,339749.381697197,371484.58008658,641217.327777778,441388.69064984
2023 Aug,339859.677181273,371662.181818182,668522.305555556,435181.492522073
2023 Sep,338170.90288105,355581.412121212,700312.166666667,407819.17772764
2023 Oct,334253.335285416,345226.109090909,736630.166666667,382630.724044317
2023 Nov,329890.682853707,297317.472727273,753636.75,356733.770360995
2023 Dec,328956.462090756,221262.336363636,708896.25,320747.150011006
2024 Jan,331377.905859145,286810.2,664873.5,311633.493946731
2024 Feb,333150.751215128,335315.5,663590.75,368802.246973366
2024 Mar,336489.12033462,381302,689728,419201
